physical_link_id,endpoint_a,endpoint_b,longitude_a,latitude_a,longitude_b,latitude_b,hulten,primitive_F
100_103,100,103,-88.042679000000007,37.089767000000002,-87.441299000000001,37.212364000000001,7.7965071401618264e-05,5.0948824879949408e-05
100_110,100,110,-88.042679000000007,37.089767000000002,-86.765227999999993,36.187652999999997,0.00038577127547122377,0.00021588274530943166
101_112,101,112,-88.187308999999999,34.210330999999996,-86.790688000000003,33.474803999999999,0.00017433679233686943,0.00011654421236112554
102_107,102,107,-87.516982999999996,38.060814000000001,-86.960175000000007,38.907684000000003,8.7040553471074466e-05,7.1930228485617847e-05
102_116,102,116,-87.516982999999996,38.060814000000001,-85.678543000000005,38.210320000000003,0.00025103000405474424,0.00018251249292654134
104_106,104,106,-88.107712000000006,30.691928999999998,-87.991470000000007,30.676131999999999,0.00041394522158138424,0.00030169092881431948
104_121,104,121,-88.107712000000006,30.691928999999998,-86.274826000000004,32.361938000000002,0.00026252819997281055,0.00018939321017771404
105_108,105,108,-86.814857000000003,41.639763000000002,-86.368003999999999,42.134459999999997,0.00039284753710973542,0.00023596570046135015
105_120,105,120,-86.814857000000003,41.639763000000002,-84.989509999999996,41.759582999999999,0.00031015448045470297,0.00019776050239881385
106_115,106,115,-87.991470000000007,30.676131999999999,-87.200089000000006,30.463104000000001,0.00034328393610704382,0.00022015844518689156
108_114,108,114,-86.368003999999999,42.134459999999997,-85.653998999999999,42.986339999999998,0.00025417341321937832,0.00016341416745393279
108_119,108,119,-86.368003999999999,42.134459999999997,-84.992889000000005,42.275784000000002,0.00038738316483401714,0.00022768134624310423
109_114,109,114,-86.168243000000004,43.144618999999999,-85.653998999999999,42.986339999999998,0.000326184692497284,0.00023673511238661807
10_11,10,11,-117.12184999999999,32.725853000000001,-117.26600999999999,34.160133000000002,0.0012014131096635989,0.00062897214923725298
10_17,10,17,-117.12184999999999,32.725853000000001,-111.87371,33.130477999999997,0.00039421412770062405,0.0002442528566260633
110_113,110,113,-86.765227999999993,36.187652999999997,-86.730468999999999,34.683166999999997,0.00036482339281682514,0.00027887191912002958
110_116,110,116,-86.765227999999993,36.187652999999997,-85.678543000000005,38.210320000000003,0.00049850887901790061,0.00034309584774606711
110_123,110,123,-86.765227999999993,36.187652999999997,-85.320487999999997,34.986572000000002,0.00052759284049869377,0.00034782380653014614
110_135,110,135,-86.765227999999993,36.187652999999997,-84.066733999999997,35.906177999999997,0.00042801470639883645,0.00027607645900526418
111_116,111,116,-86.182022000000003,39.820343000000001,-85.678543000000005,38.210320000000003,0.00048230013156109368,0.00032663167617385028
111_117,111,117,-86.182022000000003,39.820343000000001,-85.207549999999998,41.051963999999998,0.00041050599540143378,0.00029533396740085799
111_124,111,124,-86.182022000000003,39.820343000000001,-84.519447,39.141972000000003,0.00033514161440236878,0.00023204789779838206
111_127,111,127,-86.182022000000003,39.820343000000001,-84.207558000000006,39.719872000000002,0.00044610547719607673,0.00030556668137336871
112_113,112,113,-86.790688000000003,33.474803999999999,-86.730468999999999,34.683166999999997,0.00047138899792393245,0.00034773122266058604
112_121,112,121,-86.790688000000003,33.474803999999999,-86.274826000000004,32.361938000000002,0.00044101057972093915,0.00030361261795256648
112_123,112,123,-86.790688000000003,33.474803999999999,-85.320487999999997,34.986572000000002,0.000255926222610148,0.00016174962690693103
112_134,112,134,-86.790688000000003,33.474803999999999,-84.357856999999996,33.886284000000003,0.00047538983779581558,0.00039900688557526203
114_122,114,122,-85.653998999999999,42.986339999999998,-84.658805999999998,42.742629999999998,0.0003383927909125482,0.00021471592199554573
115_150,115,150,-87.200089000000006,30.463104000000001,-82.733649999999997,30.272911000000001,0.00020180519233388962,9.2982936269901396e-05
116_124,116,124,-85.678543000000005,38.210320000000003,-84.519447,39.141972000000003,0.00051247509735969428,0.00035052610466732649
116_125,116,125,-85.678543000000005,38.210320000000003,-84.513748000000007,38.103523000000003,0.00048701672151703552,0.00034852040559519486
117_120,117,120,-85.207549999999998,41.051963999999998,-84.989509999999996,41.759582999999999,0.00030563858949395599,0.00021459398367335556
118_126,118,126,-84.360657000000003,46.508423000000001,-83.694884999999999,43.003059,0.00016065520290014647,9.8570765852445372e-05
119_120,119,120,-84.992889000000005,42.275784000000002,-84.989509999999996,41.759582999999999,0.00017936985805555477,0.00011205354971615306
119_122,119,122,-84.992889000000005,42.275784000000002,-84.658805999999998,42.742629999999998,0.00025565470102331819,0.00014810968722085005
119_131,119,131,-84.992889000000005,42.275784000000002,-83.160324000000003,42.370358000000003,0.00055213334966528415,0.00034096509355408899
11_16,11,16,-117.26600999999999,34.160133000000002,-115.17224,36.120438,0.00056470170850183329,0.0003711910208413106
11_17,11,17,-117.26600999999999,34.160133000000002,-111.87371,33.130477999999997,0.00045449157102993293,0.00032563324669905331
11_21,11,21,-117.26600999999999,34.160133000000002,-111.66146999999999,35.175975999999999,0.00018174874907955527,0.0001028234580403263
120_129,120,129,-84.989509999999996,41.759582999999999,-83.530097999999995,41.576542000000003,0.00020634304241452651,0.00013940646282967748
121_130,121,130,-86.274826000000004,32.361938000000002,-84.963470000000001,32.978099999999998,0.00035923582592561031,0.00020672874812735522
